fecha,anio,mes,iee_global,comercio,construccion,manufactura,servicios
2010-02-01,2010,2,54.2,56.9,46.9,53.8,54.4
2010-03-01,2010,3,57.2,65.1,49.5,61.0,52.7
2010-04-01,2010,4,56.6,61.7,50.7,52.6,56.7
2010-05-01,2010,5,52.1,56.2,42.4,49.3,53.1
2010-06-01,2010,6,53.0,55.9,48.6,51.7,52.9
2010-07-01,2010,7,58.9,56.8,47.7,55.6,63.6
2010-08-01,2010,8,57.1,57.6,54.2,53.7,58.9
2010-09-01,2010,9,59.1,57.5,48.5,60.0,61.6
2010-10-01,2010,10,61.3,61.3,49.6,58.6,64.8
2010-11-01,2010,11,57.1,62.0,55.7,48.7,58.6
2010-12-01,2010,12,56.5,57.7,62.1,46.1,59.6
2011-01-01,2011,1,53.6,43.9,62.8,49.8,58.6
2011-02-01,2011,2,55.5,55.0,60.5,54.4,55.3
2011-03-01,2011,3,56.3,63.8,60.1,54.7,52.2
2011-04-01,2011,4,60.5,61.3,66.4,54.9,61.5
2011-05-01,2011,5,58.4,59.5,62.6,58.7,56.9
2011-06-01,2011,6,55.8,56.7,54.8,55.6,55.5
2011-07-01,2011,7,56.4,50.4,59.4,52.7,60.7
2011-08-01,2011,8,59.7,58.9,62.2,57.6,60.6
2011-09-01,2011,9,58.3,52.5,52.8,55.4,63.9
2011-10-01,2011,10,58.6,57.0,61.2,55.4,60.4
2011-11-01,2011,11,54.4,57.2,53.6,45.6,57.0
2011-12-01,2011,12,53.7,51.2,61.6,49.8,55.3
2012-01-01,2012,1,49.5,44.8,63.5,49.5,49.3
2012-02-01,2012,2,58.2,50.5,55.5,53.7,64.8
2012-03-01,2012,3,61.6,61.2,53.2,54.7,66.6
2012-04-01,2012,4,58.4,54.8,60.8,53.3,62.2
2012-05-01,2012,5,62.6,61.0,58.2,61.1,65.0
2012-06-01,2012,6,53.3,55.4,58.8,53.4,51.1
2012-07-01,2012,7,53.7,56.8,53.0,55.4,51.5
2012-08-01,2012,8,54.4,56.9,58.4,55.0,52.1
2012-09-01,2012,9,61.9,52.5,62.4,55.5,69.6
2012-10-01,2012,10,62.8,61.3,56.1,61.0,65.8
2012-11-01,2012,11,59.0,54.8,60.4,47.7,66.0
2012-12-01,2012,12,53.9,50.0,52.3,49.7,58.1
2013-01-01,2013,1,50.5,44.5,54.7,53.6,51.5
2013-02-01,2013,2,54.4,57.0,56.9,53.7,52.8
2013-03-01,2013,3,62.2,64.4,52.4,58.4,64.7
2013-04-01,2013,4,57.6,60.9,51.9,60.5,55.7
2013-05-01,2013,5,55.7,57.7,52.8,53.4,56.1
2013-06-01,2013,6,52.7,51.4,49.1,50.5,55.0
2013-07-01,2013,7,60.7,55.3,57.2,55.4,66.5
2013-08-01,2013,8,58.3,57.9,55.8,53.5,61.1
2013-09-01,2013,9,54.7,56.1,57.3,54.1,53.7
2013-10-01,2013,10,57.2,59.7,52.7,60.4,55.3
2013-11-01,2013,11,58.5,58.2,60.7,51.4,61.4
2013-12-01,2013,12,51.3,50.9,50.9,48.5,52.8
2014-01-01,2014,1,47.0,47.3,50.3,50.7,44.5
2014-02-01,2014,2,53.3,52.7,55.7,54.4,52.7
2014-03-01,2014,3,59.5,57.2,49.3,58.4,63.2
2014-04-01,2014,4,57.5,59.4,57.8,57.8,56.4
2014-05-01,2014,5,59.3,59.5,52.2,55.2,62.4
2014-06-01,2014,6,52.3,51.5,61.1,52.4,51.1
2014-07-01,2014,7,57.4,51.4,64.0,58.1,59.0
2014-08-01,2014,8,58.5,54.5,59.2,55.2,62.0
2014-09-01,2014,9,57.4,53.3,58.3,54.8,60.7
2014-10-01,2014,10,58.1,56.3,63.2,55.6,59.2
2014-11-01,2014,11,53.0,56.2,52.7,44.7,55.1
2014-12-01,2014,12,52.5,50.8,31.9,51.4,57.8
2015-01-01,2015,1,44.5,41.1,46.6,49.2,43.7
2015-02-01,2015,2,51.3,49.1,49.0,50.6,53.2
2015-03-01,2015,3,61.0,62.1,48.0,57.5,64.5
2015-04-01,2015,4,50.9,49.9,50.8,51.4,51.3
2015-05-01,2015,5,51.1,50.9,46.9,50.8,52.0
2015-06-01,2015,6,53.5,50.6,56.5,51.1,55.6
2015-07-01,2015,7,53.1,46.5,61.9,45.7,58.4
2015-08-01,2015,8,51.5,50.0,49.6,47.1,54.6
2015-09-01,2015,9,50.6,50.3,46.4,51.4,51.3
2015-10-01,2015,10,54.3,55.0,44.9,52.2,56.7
2015-11-01,2015,11,45.4,53.4,43.2,43.7,42.4
2015-12-01,2015,12,48.2,46.0,41.0,47.9,50.9
2016-01-01,2016,1,40.5,40.0,39.5,47.8,37.6
2016-02-01,2016,2,47.5,46.5,55.0,48.4,46.1
2016-03-01,2016,3,55.6,60.3,44.0,57.1,54.7
2016-04-01,2016,4,51.3,53.6,48.0,47.7,52.4
2016-05-01,2016,5,50.2,58.7,47.6,53.2,44.7
